"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","456007","486289","584220","625160","714420","808924","901528","978007","1091200","1182121","1364139","1419227","1435045","1584873","1782007","2066344","2387953","2583549","2946955","3145919","2897709","3271732","","",
"Bulgaria","BGR","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130694","203253","136444","142611","147594","169922","180446","195456","201050","206111","228545","241716","261934","254571","245160","","",
"Bahrain","BHR","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238624","269331","279799","367589","374823","525309","429823","442941","379817","424602","400307","432207","418933","464010","404904","","",
"Bahamas, The","BHS","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570000","","1057879","1184800","1211500","1463000","1632000","1702000","1297000","1155000","1146272","1232000","1465246","1465283","1468380","1261778","920652","1182836","1555798","1450000","1792780","","",
"Bosnia and Herzegovina","BIH","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39191","38211","31344","31917","34776","36978","40978","43593","48141","46040","44381","47729","20259","","","","",
"Bermuda","BMU","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4485.461","4485.461","4485.461","4485.461","4437.324","4437.324","4437.324","4437.324","4437.324","4006","","","","",
"Bolivia","BOL","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2413098","2323801","3570260","4230474","5056814","5652149","6294286","6464724","7256291.688","6590363.8866672","7223103","8037427","8455525","9214483","9436275","9263315","8804079","9380502","10061925","10704669","10450632","11801530","","",
