DATAFLOW,LAST UPDATE,freq,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AL,2020,0,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2007,14116,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2012,344,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2013,357,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2014,403,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2015,294,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2016,293,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2017,286,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2018,280,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2019,282,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2020,250,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2021,265,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,AT,2022,292,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,1995,326,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,1996,304,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,1997,326,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,1998,362,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,1999,354,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2001,409,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2002,415,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2003,435,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2004,380,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2005,364,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2006,425,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2007,458,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2008,447,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BE,2009,464,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BG,1995,195.712,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BG,1996,191.840,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BG,1997,207.050,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,BG,1998,187.700,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CH,1992,618,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CH,1993,613,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CH,1994,584,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CH,1995,573,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CH,1999,624,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CH,2000,643,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CH,2001,643,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CH,2002,653,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CZ,1994,444.065,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CZ,1995,489.007,
ESTAT:RAIL_TF_HAUTYPE(1.0),31/07/24 23:00:00,A,RL_PAS,MIO_VKM,CZ,1996,469.981,
