DATAFLOW,LAST UPDATE,freq,lvlcros,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CH,NR,2019,1396,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CH,NR,2020,1401,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CH,NR,2021,1403,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CH,NR,2022,1402,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2010,3818,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2011,3735,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2012,3735,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2013,3743,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2014,3749,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2015,3892,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2016,4023,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2017,4146,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2018,4205,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2019,4251,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2020,4272,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2021,4337,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,CZ,NR,2022,4360,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2010,10313,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2011,9925,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2012,9869,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2013,9920,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2014,9844,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2015,9847,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2016,9775,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2017,9782,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2018,9734,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2019,9722,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2020,9667,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2021,9688,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DE,NR,2022,9694,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2010,722,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2011,865,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2012,806,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2013,933,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2014,924,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2015,811,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2016,811,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2017,941,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2018,814,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2019,795,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2020,741,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2021,765,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,DK,NR,2022,743,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2010,164,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2011,165,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2012,165,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2013,165,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2014,168,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2015,166,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2016,166,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2017,166,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2018,166,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2019,157,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2020,165,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2021,176,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EE,NR,2022,178,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2010,817,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2011,723,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2012,806,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2013,779,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2014,760,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2015,749,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2016,749,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2017,692,
ESTAT:RAIL_IF_LVLCROS(1.0),30/01/24 23:00:00,A,ACT,EL,NR,2018,695,
