DATAFLOW,LAST UPDATE,freq,unit,tra_infr,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2012,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2013,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2014,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2015,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2016,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2017,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2018,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2019,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2020,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2021,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AL,2022,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,1999,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2000,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2001,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2002,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2003,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2004,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2005,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2006,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2007,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2008,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2009,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2010,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2011,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2012,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2013,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2014,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2015,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2016,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2017,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2018,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2019,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2020,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2021,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,AT,2022,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1990,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1991,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1992,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1993,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1994,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1995,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1996,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1997,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1998,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,1999,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2000,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2001,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2002,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2003,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2004,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2005,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2006,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2007,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2008,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2009,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2010,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2011,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2012,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2013,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2014,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2015,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2016,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2017,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2018,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2019,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2020,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2021,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BA,2022,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BE,1990,122,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BE,1991,122,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BE,1992,118,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BE,1993,118,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BE,1994,118,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BE,1995,127,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BE,1996,127,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BE,1997,109,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,1990,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,1991,0,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2000,102,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2001,102,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2002,102,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2003,115,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2004,115,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2005,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2006,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2007,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2008,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2009,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2010,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2011,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2012,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2013,105,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2014,94,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2015,84,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2016,84,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2017,84,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2018,84,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2019,140,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,FR_ONL,BG,2020,140,
