DATAFLOW,LAST UPDATE,freq,unit,train,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,RO,2004,0,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,RO,2005,0,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,RO,2006,0,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AL,RO,2007,0,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AM,EL,2006,0,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2004,1,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2005,3,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2006,1,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2007,0,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2008,3,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2009,5,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2010,2,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2011,2,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2013,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2014,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2015,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2016,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2017,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2018,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2019,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2020,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2021,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BE,2022,,c
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2006,1,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2007,9,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2008,13,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2009,14,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2010,14,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2011,15,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2012,14,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2013,14,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2014,11,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2015,11,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2016,8,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2017,9,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2018,10,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2019,18,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2020,7,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2021,3,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2022,9,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,BG,2023,19,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2008,179,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2009,170,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2010,193,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2011,195,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2012,225,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2013,220,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2014,215,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2015,518,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2016,498,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2017,505,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2018,522,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2019,570,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2020,234,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2021,271,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2022,551,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CH,2023,632,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2004,38,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2005,18,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2006,144,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2007,183,
ESTAT:RAIL_PA_INTCMNG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,AT,CZ,2008,169,
