DATAFLOW,LAST UPDATE,freq,train,vehicle,mot_nrg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BA,2021,327,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BA,2022,381,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1990,9583,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1991,8623,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1992,8250,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1993,7806,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1994,7499,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1995,6884,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1996,6419,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1997,6282,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1998,6036,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,1999,5900,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2000,6338,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2001,5193,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2002,5085,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2003,4679,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2004,4569,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2005,4939,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2006,4841,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2007,4610,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2008,4066,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BE,2009,2173,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,1992,4253.100,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,1993,3905.200,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,1994,3547.300,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,1995,3420.200,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,1996,3019.700,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,BG,1997,2856,
