DATAFLOW,LAST UPDATE,freq,unit,nstr24,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,AT,2003,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,AT,2004,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,AT,2005,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,AT,2006,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,AT,2007,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,BE,2003,46,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,BE,2004,47,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,BE,2005,123,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,BE,2006,90,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,BE,2007,126,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,BG,2006,14,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,BG,2007,9,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CY,2003,,z
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CY,2004,,z
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CY,2005,,z
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CY,2006,,z
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CY,2007,,z
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CZ,2003,160,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CZ,2004,32,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CZ,2005,284,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CZ,2006,224,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,CZ,2007,101,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DE,2003,487,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DE,2004,168,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DE,2005,887,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DE,2006,1460,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DE,2007,1862,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DK,2003,1,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DK,2004,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DK,2005,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DK,2006,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,DK,2007,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EE,2003,270,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EE,2004,35,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EE,2005,44,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EE,2006,137,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EE,2007,181,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EL,2004,3,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EL,2005,3,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EL,2006,13,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EL,2007,16,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,ES,2003,341,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,ES,2004,359,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,ES,2005,363,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,ES,2006,335,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,ES,2007,350,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EU27_2007,2006,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EU27_2020,2006,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,EU28,2006,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FI,2003,15,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FI,2004,3,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FI,2005,4,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FI,2006,11,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FI,2007,9,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FR,2003,3694,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FR,2004,3530,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FR,2005,3257,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FR,2006,3071,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,FR,2007,,c
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HR,2004,76,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HR,2005,128,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HR,2006,190,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HR,2007,225,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HU,2003,80,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HU,2004,57,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HU,2005,87,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HU,2006,177,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,HU,2007,317,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IE,2003,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IE,2004,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IE,2005,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IE,2006,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IE,2007,0,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IT,2003,297,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IT,2004,353,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IT,2005,361,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IT,2006,344,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,IT,2007,367,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,LT,2003,439,
ESTAT:RAIL_GO_GRGOOD7(1.0),29/07/24 23:00:00,A,MIO_TKM,01,LT,2004,210,
