DATAFLOW,LAST UPDATE,freq,unit,tra_infr,gaugert,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2008,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2009,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2010,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2011,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2012,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2013,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2014,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2015,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2016,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2017,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2018,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2019,0,
ESTAT:RAIL_IF_LINE_GA(1.0),31/07/24 23:00:00,A,KM,RL_ELC,LRG,AT,2020,0,
