DATAFLOW,LAST UPDATE,freq,train,vehicle,mot_nrg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2020,11574.997,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2021,12195.203,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,ES,2022,10511.034,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2013,5992,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2014,5257,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2015,4113,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2016,3404,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2017,3359,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2018,3819,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2019,3499,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2020,3290,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2021,3704,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,FI,2022,3366,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,HR,2013,4617,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,HR,2014,3928,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,HR,2015,3173,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2013,10108,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2014,10266,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2015,10002,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2016,9408,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2017,9437,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2018,10293,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2019,10274,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2020,9845,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2021,9707,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LT,2022,5438,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2013,11992.300,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2014,12095.700,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2015,11572.400,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2016,9613.500,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2017,8816.100,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2018,9914.500,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2019,8600.800,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2020,4860,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2021,4432.400,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,LV,2022,4152.600,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2013,896110,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2014,844890,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2015,710057,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2016,715554,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2017,890820,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2018,897180,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2019,934306,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2020,621483.500,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2021,617123.100,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MD,2022,1056083.500,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2013,422,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2014,516,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2015,376,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2016,269,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2017,154,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2018,236,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2019,242,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2020,149,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2021,121,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,MK,2022,60,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2013,18908,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2014,16969,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2015,16030,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2016,16203,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2017,17160,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2018,19321,b
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2019,19772,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2020,15359,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2021,17619,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PL,2022,17350,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PT,2017,1602.920,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PT,2018,1602.920,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PT,2019,1980.574,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PT,2020,1909.721,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PT,2021,2776.125,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,PT,2022,3444.400,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,RS,2013,1486,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,RS,2015,1744,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,RS,2016,1430,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,RS,2017,1337,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,RS,2019,1452,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,RS,2020,1930,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,RS,2021,2430,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,RS,2022,1993,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,SE,2013,8946,
ESTAT:RAIL_TF_TRAVEH(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,THS_TRKM,SE,2014,8239,
