DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2007,2404,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2008,2317,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2009,2138,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2010,2090,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2011,2059,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2012,1870,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2013,1821,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2014,1698,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2015,1549,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2016,1455,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2017,1434,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2018,1476,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2019,1520,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2020,1118,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2021,1203,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2022,1600,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,BG,2023,1592,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2008,17699,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2009,18497,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2010,19093,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2011,19387,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2012,19180,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2013,19368,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2014,19934,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2015,20228,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2016,20657,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2017,20707,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2018,20451,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2019,21559,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2020,13261,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2021,14223,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2022,19201,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CH,2023,22093,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2004,6580,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2005,6667,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2006,6922,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2007,6898,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2008,6773,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2009,6472,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2010,6559,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2011,6669,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2012,7196,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2013,7512,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2014,7644,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2015,8125,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2016,8738,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2017,9403,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,CZ,2018,10220,
