DATAFLOW,LAST UPDATE,freq,unit,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2009,506,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2010,460,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2011,489,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2012,451,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2013,442,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2014,497,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2015,648,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2016,579,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2017,671,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2018,707,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2019,869,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2020,1093,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2021,1183,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2022,1453,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,BG,2023,1055,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2008,1484,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2009,1224,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2010,1296,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2011,1196,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2012,1083,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2013,1360,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2014,1192,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2015,1446,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2016,1221,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2017,1249,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2018,1270,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2019,1234,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2020,1192,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2021,1248,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2022,1306,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CH,2023,1068,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CZ,2003,7423,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CZ,2004,7083,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CZ,2005,6922,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CZ,2006,7012,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CZ,2007,6860,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CZ,2008,6794,
ESTAT:RAIL_GO_TYPEPAS(1.0),04/09/24 23:00:00,A,MIO_TKM,INTL,CZ,2009,5727,
