DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2014,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2015,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2016,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2017,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2018,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2019,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2020,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2021,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CH,2022,6,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2007,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2008,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2009,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2010,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2011,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2012,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2013,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2014,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2015,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2016,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2017,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2018,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2019,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2020,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2021,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CHUNNEL,2022,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2006,13,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2007,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2008,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2009,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2010,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2011,6,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2012,6,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2013,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2014,13,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2015,14,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2016,6,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2017,11,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2018,6,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2019,7,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2020,11,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2021,12,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,CZ,2022,13,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2006,422,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2007,15,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2008,13,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2009,16,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2010,13,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2011,18,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2012,23,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2013,29,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2014,32,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2015,40,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2016,29,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2017,38,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2018,40,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2019,33,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2020,40,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2021,24,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,DE,2022,44,
